用例编号,所属产品,所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,用例状态,B,R,S,结果,由谁创建,最后修改者,用例版本
21395,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的备注，输入汉字,登录账号CS02登录名赵小二。依赖用例21174,1. 备注输入汉字，其他信息都正确，点击保存,1. 页面没有报错跳转到费用清单页面,2,功能测试,正常,0,1,1,通过,郑园,,1
21391,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的其他费用输入外文Ⅵ,登录账号CS02登录名赵小二。依赖用例21174,1. 其他费用输入外文Ⅵ，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,0,1,1,通过,郑园,,1
21390,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的其他费用输入大写数字六十六,登录账号CS02登录名赵小二。依赖用例21174,1. 其他费用输入大写数字六十六，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,0,1,1,通过,郑园,,1
21388,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的其他费用输入小数66.666,登录账号CS02登录名赵小二。依赖用例21174,1. 其他费用输入小数66.666，其他信息都正确，点击保存,1. 页面没有报错跳转到费用清单页面，并且其他费用自动保留两位小数,2,功能测试,正常,0,1,1,通过,郑园,,1
21386,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的其他费用输入数字66,登录账号CS02登录名赵小二。依赖用例21174,1. 其他费用输入数字66，其他信息都正确，点击保存,1. 页面没有报错跳转到费用清单页面,2,功能测试,正常,0,1,1,通过,郑园,,1
21380,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的住宿费用输入外文数字ⅤⅠ,登录账号CS02登录名赵小二。依赖用例21174,1. 住宿费用输入外文数字Ⅵ，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,0,1,1,通过,郑园,,1
21379,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的住宿费用输入大写数字九十九,登录账号CS02登录名赵小二。依赖用例21174,1. 住宿费用输入大写数字九十九，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,0,1,1,通过,郑园,,1
21368,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的住宿费用输入小数99.9999,登录账号CS02登录名赵小二。依赖用例21174,1. 住宿费用输入小数99.9999，其他信息都正确，点击保存,1. 页面没有报错跳转到费用清单页面，并且费用自动保留两位小数,2,功能测试,正常,0,1,1,通过,郑园,,1
21366,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的住宿费用输入数字99,登录账号CS02登录名赵小二。依赖用例21174,1. 住宿费用输入99，其他信息都正确，点击保存,1. 页面没有报错跳转到费用清单页面,2,功能测试,正常,0,1,1,通过,郑园,,1
21365,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的交通费用输入外文数字Ⅹ,登录账号CS02登录名赵小二。依赖用例21174,1. 交通费用输入外文数字Ⅹ，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,0,1,1,通过,郑园,,1
21364,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的交通费用输入大写数字八十八,登录账号CS02登录名赵小二。依赖用例21174,1. 交通费用输入大写数字八十八，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,0,1,1,通过,郑园,,1
21363,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的交通费用输入小数88.888,登录账号CS02登录名赵小二。依赖用例21174,1. 交通费用输入88.888，其他信息都正确，点击保存,1. 页面没有报错，跳转到费用清单页面，可以看到保存的记录里面交通费用自动保留两位小数,2,功能测试,正常,0,1,1,通过,郑园,,1
21352,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的交通费用输入整数88,登录账号CS02登录名赵小二。依赖用例21174,1. 交通费用输入88，其他信息都正确，点击保存,1. 页面没有报错，跳转到费用清单页面,2,功能测试,正常,0,1,1,通过,郑园,,1
21350,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的到达时间，输入2020/8/13,登录账号CS02登录名赵小二。依赖用例21174,1. 出发时间输入2020/8/13，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,0,1,1,通过,郑园,,1
21349,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的到达时间，输入2020-08-13,登录账号CS02登录名赵小二。依赖用例21174,1. 出发时间输入2020-08-13，其他信息都正确，点击保存,1. 页面没有报错跳转到费用清单页面,2,功能测试,正常,0,1,1,通过,郑园,,1
21348,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的出发时间，输入2020/8/11,登录账号CS02登录名赵小二。依赖用例21174,1. 出发时间输入2020/8/11，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,0,1,1,通过,郑园,,1
21346,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的出发时间，输入2020-08-11,登录账号CS02登录名赵小二。依赖用例21174,1. 出发时间输入2020-08-11，其他信息都正确，点击保存,1. 页面跳转到费用清单页面,2,功能测试,正常,0,1,1,通过,郑园,,1
21343,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的目的地，输入222,登录账号CS02登录名赵小二。依赖用例21174,1. 出发地输入222，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,1,1,1,失败,郑园,,1
21342,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的目的地，输入beijing,登录账号CS02登录名赵小二。依赖用例21174,1. 出发地输入beijing，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,0,1,1,通过,郑园,,1
21335,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的目的地，输入北京,登录账号CS02登录名赵小二。依赖用例21174,1. 出发地输入北京，其他信息都正确，点击保存,1. 页面没有报错，跳转到费用清单页面,2,功能测试,正常,0,1,1,通过,郑园,郑园,2
21332,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的出发地，输入111,登录账号CS02登录名赵小二。依赖用例21174,1. 出发地输入111，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,1,1,1,失败,郑园,,1
21295,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的出发地，输入shenzhen,登录账号CS02登录名赵小二。依赖用例21174,1. 出发地输入shenzhen，其他信息都正确，点击保存,1. 页面报错,2,功能测试,正常,0,2,1,通过,郑园,,1
21209,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的出发地，输入深圳,登录账号CS02登录名赵小二。依赖用例21174,1. 出发地输入深圳，其他信息都正确，点击保存,1. 页面没有报错跳转到费用清单页面,1,功能测试,正常,0,1,1,通过,郑园,郑园,2
21207,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的关闭功能,登录账号CS02登录名赵小二。依赖用例21174,1. 点击关闭,1. 页面消失,1,功能测试,正常,0,1,1,通过,郑园,,1
21195,SZ-HRMS-03(#82),/出差报销(#2859),费用清单页面的新增操作,登录账号CS02登录名赵小二。依赖用例21174,1. 点击新增,1. 进入费用清单页面,1,功能测试,正常,0,1,1,通过,郑园,,1
21188,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的返回操作,登录账号CS02登录名赵小二。,1. 点击新增进入基础信息页面，点击返回,1. 页面返回到出差报销页面,1,功能测试,正常,0,1,1,通过,郑园,,1
21181,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的提交操作,登录账号CS02登录名赵小二。依赖用例21174,1. 点击提交,1. 页面跳转到出差报销页面，状态变为已提交。,1,功能测试,正常,0,1,1,通过,郑园,,1
21174,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的保存操作,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 出差日期，结束日期，出差天数，补助金额，出差事由都正确，点击保存。","1. 
2. 页面没有跳转，页面出现费用清单页面",1,功能测试,正常,0,1,2,通过,郑园,,1
21155,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的出差事由，为空,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 出差事由为空,结束日期，出差日期，出差天数，补助金额都正确，点击保存。","1. 
2. 页面报错",1,功能测试,正常,0,1,2,通过,郑园,,1
21153,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的出差事由，输入数字,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 出差事由输入数字,结束日期，出差日期，出差天数，补助金额都正确，点击保存。","1. 
2. 页面没有报错，页面出现费用清单页面",1,功能测试,正常,0,1,2,通过,郑园,郑园,2
21150,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的出差事由，输入外文,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 出差事由输入外文,结束日期，出差日期，出差天数，补助金额都正确，点击保存。","1. 
2. 页面没有报错，页面出现费用清单页面",1,功能测试,正常,0,1,2,通过,郑园,郑园,2
21149,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的出差事由，输入汉字,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 出差事由输入汉字,结束日期，出差日期，出差天数，补助金额都正确，点击保存。","1. 
2. 页面没有报错，页面出现费用清单页面",1,功能测试,正常,0,1,2,通过,郑园,,1
21146,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的补助金额，输入金额为小数88.888,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 补助金额输入金额为小数88.888,结束日期，出差日期，出差天数，出差事由都正确，点击保存。","1. 
2. 补助金额自动四舍五入，保留两位小数",1,功能测试,正常,0,1,2,通过,郑园,,1
21141,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的补助金额，输入金额为外文one,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 补助金额输入金额为外文one,结束日期，出差日期，出差天数，出差事由都正确，点击保存。","1. 
2. 页面报错",1,功能测试,正常,0,1,2,通过,郑园,郑园,1
21137,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的补助金额，输入金额为大写八十八,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 补助金额输入大写八十八，结束日期，出差日期，出差天数，出差事由都正确，点击保存。","1. 
2. 页面报错",1,功能测试,正常,0,1,2,通过,郑园,,1
21132,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的补助金额，输入金额88,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 补助金额输入88，结束日期，出差日期，出差天数，出差事由都正确，点击保存。","1. 
2. 页面没有报错，页面出现费用清单页面",1,功能测试,正常,0,1,2,通过,郑园,,1
21124,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的出差天数，输入出差天数等于结束日期-出差日期数字为大写“一”,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 输入出差天数等于结束日期-出差日期数字为大写“一”，结束日期，出差日期，补助金额，出差事由都正确，点击保存。","1. 
2. 页面报错",1,功能测试,正常,0,1,2,通过,郑园,,1
21117,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的出差天数，输入出差天数等于结束日期-出差日期数字为外文“Ⅰ”,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 输入出差天数等于结束日期-出差日期数字为外文“Ⅰ”，结束日期，出差日期，补助金额，出差事由都正确，点击保存。","1. 
2. 页面报错",1,功能测试,正常,0,2,2,通过,郑园,郑园,2
21098,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的出差天数，输入出差天数等于结束如期-出差日期,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 输入出差天数等于于结束日期-出差日期，结束日期，出差日期，补助金额，出差事由都正确，点击保存。","1. 
2. 页面没有报错，页面出现费用清单页面",1,功能测试,正常,0,1,2,通过,郑园,,1
21080,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的出差天数，输入出差天数大于结束如期-出差日期,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 输入出差天数大于结束日期-出差日期，结束日期，出差日期，补助金额，出差事由都正确，点击保存。","1. 
2. 页面报错",1,功能测试,正常,1,2,2,失败,郑园,郑园,2
21064,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的结束日期，输入格式2020-08-12,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 结束日期输入2020-08-12，出差日期，出差天数，补助金额，出差事由都正确，点击保存。","1. 
2. 页面没有报错，页面出现费用清单页面",1,功能测试,正常,0,1,2,通过,郑园,,1
21063,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的结束日期，输入格式2020/8/12,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 结束日期输入2020/8/12，出差日期，出差天数，补助金额，出差事由都正确，点击保存。","1. 
2. 页面报错",1,功能测试,正常,0,1,2,通过,郑园,,1
21060,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的出差日期，输入格式2020/8/12,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 出差日期输入2020/8/12，结束日期，出差天数，补助金额，出差事由都正确，点击保存。","1. 
2. 页面报错",1,功能测试,正常,0,1,2,通过,郑园,,1
21057,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的出差日期，输入格式2020-08-12,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 出差日期输入2020-08-12，结束日期，出差天数，补助金额，出差事由都正确，点击保存。","1. 
2. 页面没有报错，页面出现费用清单页面",1,功能测试,正常,0,1,2,通过,郑园,郑园,2
21053,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的同行人，输入中文,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 同行人输入中文，出差日期，结束日期，出差天数，补助金额，出差事由都正确，点击保存。","1. 
2. 页面不会跳转，会出现一个费用清单页面",1,功能测试,正常,0,1,2,通过,郑园,郑园,2
21052,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的同行人，输入英文,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 同行人输入英文，出差日期，结束日期，出差天数，补助金额，出差事由都正确，点击保存。","1. 
2. 页面不会跳转，会出现一个费用清单页面",1,功能测试,正常,0,1,2,通过,郑园,郑园,3
21051,SZ-HRMS-03(#82),/出差报销(#2859),基础信息页面的同行人，输入数字,登录账号CS02登录名赵小二,"1. 点击新增进入基础信息页面
2. 同行人输入数字，出差日期，结束日期，出差天数，补助金额，出差事由都正确，点击保存。","1. 
2. 页面报错",1,功能测试,正常,1,3,2,失败,郑园,郑园,5
21016,SZ-HRMS-03(#82),/出差报销(#2859),出差报销页面的新增操作,登录账号CS02登录名赵小二,1. 点击新增操作,1. 进入基础信息页面,1,功能测试,正常,0,1,1,通过,郑园,郑园,3
